country,women_rep,women_decisons,female_suffrage,gender_equality
Rwanda,57.375,64.2,100,2.12655
Sweden,45.6015,NA,100,2.627
Cuba,45.525,NA,100,2.10605
Finland,41.75,NA,100,2.6557999999999997
South Africa,40.306,64.9,100,1.0295
Norway,39.7305,NA,100,2.663
Iceland,38.7305,NA,100,2.912
Costa Rica,38.684,NA,100,2.676
Denmark,38.4925,NA,100,3.288
Mozambique,38.252631578947366,49.1,100,1.506
Belgium,38.166,NA,100,2.934
Spain,38.1485,NA,100,2.4428
Argentina,38.102105263157895,NA,100,3.10785
Netherlands,37.9005,NA,100,2.7078
New Zealand,35.483,NA,100,2.845
Mexico,35.0685,NA,100,1.119
Nicaragua,34.5375,NA,100,0.8029999999999999
Bolivia,34.3065,NA,100,1.41875
Tanzania,33.33,46.8,100,0.9016500000000001
Timor-Leste,33.254,40,100,1.09035
Germany,33.136,NA,100,3.325
Austria,33.06,NA,100,3.357
Namibia,33.056315789473686,69.15,100,1.3094999999999999
Senegal,32.923,8.05,100,1.212
Ecuador,32.3485,86.7,100,2.0475
North Macedonia,32.295,88.1,100,1.5904
Uganda,32.042,53,100,1.4293
Burundi,32.0355,46.5,90,1.46
Switzerland,31.525,NA,100,2.308
Belarus,31.2485,NA,100,2.56845
Guyana,30.909,71.3,100,1.1655
Portugal,30.347,NA,100,3.0994
Serbia,29.91764705882353,96.2,100,1.8294
Angola,29.5455,62,100,0.78545
Seychelles,29.2655,NA,100,2.4653
Ethiopia,29.005,49.3,100,-0.0897
South Sudan,28.2975,NA,100,-1.1439166666666667
Afghanistan,27.55625,NA,95,-0.9794
Australia,27.458000000000002,NA,100,3.3592500000000003
Trinidad and Tobago,26.721,NA,100,2.04515
Vietnam,26.41,NA,100,1.6990999999999998
Peru,26.298,NA,100,0.6244000000000001
Iraq,25.94235294117647,NA,90,-0.66625
Tunisia,25.866,NA,100,1.7598
Nepal,25.72421052631579,53.6,75,0.88525
France,25.432000000000002,NA,100,3.303
Italy,25.339000000000002,NA,100,3.468
Luxembourg,25.2485,NA,100,2.8092
United Kingdom,25.1715,NA,100,2.5692
Laos,25.070999999999998,NA,100,1.7312
Canada,24.7275,NA,100,2.5191
Slovenia,24.6105,NA,100,2.533
Poland,24.112,NA,100,2.61795
Philippines,23.761,81,100,1.9197
Singapore,23.2915,NA,100,2.342
El Salvador,23.273,NA,100,0.34430000000000005
Zimbabwe,22.990499999999997,57.06666666666666,100,0.5121
Bulgaria,22.9375,NA,100,2.663
Moldova,22.77,72.9,100,2.18165
United Arab Emirates,22.75,NA,14.299150000000003,0.62725
Estonia,22.6805,NA,100,3.246
Latvia,22.65,NA,100,2.5347
Croatia,22.571578947368423,NA,100,2.71175
China,22.56,NA,100,1.078
Dominican Republic,22.314,77,100,1.25755
Suriname,22.1555,NA,100,1.0746
Lithuania,22.075,NA,100,2.2247
Sudan,22.0375,NA,75,-0.19765000000000002
Eritrea,22,NA,0,0.0014999999999999651
Lesotho,21.9215,57.45,95,0.9337
Cameroon,21.917,43.3,100,1.90975
Turkmenistan,21.52722222222222,59.3,100,0.6
Guinea,21.173846153846153,25.799999999999997,90,0.2771052631578947
Pakistan,21.1615,40.3,100,1.0030999999999999
Cape Verde,21.110999999999997,NA,100,1.88035
Israel,21.041999999999998,NA,100,1.958
Honduras,20.83277777777778,70.3,100,1.2352
Kazakhstan,20.828500000000002,NA,100,2.1854
Uzbekistan,20.234,NA,100,1.08305
Mauritania,19.996111111111112,NA,95,0.0433
Czechia,19.875,NA,100,2.8419
United States of America,19.428,NA,100,2.746
Bosnia and Herzegovina,19.287,NA,100,1.7873000000000001
Slovakia,19.1005,NA,100,2.412
Tajikistan,18.785,36.95,100,0.05865000000000001
Albania,18.6285,65.25,100,1.7373
Kyrgyzstan,18.33,76.6,100,1.38635
